Date,log_returns,State,SPX
1940-07-08,-0.16727523742923317,0,9.94
1940-07-09,0.0,0,9.94
1940-07-10,0.17046182077649547,0,9.97
1940-07-11,0.0,0,9.97
1940-07-12,-0.11635465413580089,0,9.95
1940-07-13,0.0,0,9.95
1940-07-15,0.1756377019696595,0,9.98
1940-07-16,0.707101708102776,0,10.09
1940-07-17,-0.2246396978456486,0,10.06
1940-07-18,0.10006513281449636,0,10.07
1940-07-19,-1.0605717287852021,0,9.97
1940-07-20,-0.12094182700921231,0,9.96
1940-07-22,0.12202772287190906,0,9.97
1940-07-23,0.12198945441478987,0,9.98
1940-07-24,-1.0836253108960872,0,9.89
1940-07-25,0.36176655962524984,0,9.92
1940-07-26,0.6185466985735796,0,9.97
1940-07-27,0.4908324716486058,0,10.01
1940-07-29,0.8544630145848205,0,10.08
1940-07-30,2.7085050844618057,0,10.33
1940-07-31,-0.5431228162701418,0,10.29
1940-08-01,-0.41432458301894504,0,10.26
1940-08-02,-0.1418342318967559,0,10.25
1940-08-03,0.4485769685952106,0,10.28
1940-08-05,0.0,0,10.28
1940-08-06,-1.656452640062261,0,10.17
1940-08-07,0.0,0,10.17
1940-08-08,0.0,0,10.17
1940-08-09,1.4825246363029028,0,10.27
1940-08-10,1.2948354706717973,0,10.36
1940-08-12,0.2882807398678861,0,10.38
1940-08-13,-3.829742496253278,1,10.0
1940-08-14,-0.916331758850583,1,9.91
1940-08-15,0.9032053128604969,1,10.0
1940-08-16,-1.545675102185544,1,9.84
1940-08-17,0.8607475090006161,0,9.93
1940-08-19,-0.19079274269755017,0,9.91
1940-08-20,1.1346265214824482,0,10.03
1940-08-21,1.6042906561698003,0,10.21
1940-08-22,0.9531134228266999,0,10.32
1940-08-23,-1.117604537798412,0,10.19
1940-08-24,0.17290500572147047,0,10.21
1940-08-26,0.17253850037753507,0,10.23
1940-08-27,0.0,0,10.23
1940-08-28,1.190627927773449,0,10.37
1940-08-29,-0.42131350583449567,0,10.32
1940-08-30,1.462676176454462,0,10.5
1940-08-31,0.48136922400188487,0,10.56
1940-09-03,0.0,0,10.56
1940-09-04,1.783864851366105,0,10.78
1940-09-05,1.1781402892401316,0,10.93
1940-09-06,-0.6214587607306876,0,10.85
1940-09-07,-0.3115830570015021,0,10.81
1940-09-09,-2.0957860623070723,0,10.52
1940-09-10,0.07322968748426385,0,10.53
1940-09-11,-0.5916198041527424,0,10.45
1940-09-12,-1.095942471118445,0,10.3
1940-09-13,0.07355721297072543,0,10.31
1940-09-14,0.4424428418696473,0,10.37
1940-09-16,0.6589799160596219,0,10.46
1940-09-17,0.5781487695614294,0,10.54
1940-09-18,0.6796234459355148,0,10.62
1940-09-19,-0.2578714692136403,0,10.59
1940-09-20,0.0,0,10.59
1940-09-21,0.7240802051462635,0,10.67
1940-09-23,1.9598966149525812,0,10.9
1940-09-24,-0.33689911607989836,0,10.86
1940-09-25,-0.17048207511050875,0,10.84
1940-09-26,-0.6146332953215908,0,10.77
1940-09-27,-1.6205693883463452,0,10.58
1940-09-28,0.6147770386342644,0,10.65
1940-09-30,0.0874951390921575,0,10.66
1940-10-01,1.273963550631664,0,10.81
1940-10-02,0.42051104482549095,0,10.86
1940-10-03,0.08558751310986475,0,10.87
1940-10-04,-0.7667306678860153,0,10.78
1940-10-05,0.0,0,10.78
1940-10-07,-0.534223645078166,0,10.72
1940-10-08,-1.5503609031370589,0,10.54
1940-10-09,-0.5575266011321356,0,10.48
1940-10-10,-0.09688687025647123,0,10.47
1940-10-11,1.0431183133537385,0,10.58
1940-10-14,-0.472225520533514,0,10.53
1940-10-15,1.1655403934568247,0,10.64
1940-10-16,0.419865640035481,0,10.68
1940-10-17,0.5287080099767345,0,10.73
1940-10-18,-0.11157653461333979,0,10.72
1940-10-19,-0.2229248157018193,0,10.7
1940-10-21,-0.5576952151650035,0,10.65
1940-10-22,0.5641059303697293,0,10.7
1940-10-23,1.1131751196499988,0,10.8
1940-10-24,-0.7778723220841292,0,10.73
1940-10-25,0.0,0,10.73
1940-10-26,1.2988742226980745,0,10.85
1940-10-28,-0.4343326040789539,0,10.81
1940-10-29,0.24505598887803634,0,10.83
1940-10-30,1.0792293123675765,0,10.92
1940-10-31,1.7977419633201415,0,11.08
1940-11-01,0.0,0,11.08
1940-11-02,0.5033985382647098,0,11.12
1940-11-04,0.5051602646315241,0,11.16
1940-11-06,-3.514421661577477,1,10.79
1940-11-07,3.996888106614277,1,11.39
1940-11-08,-1.0227437501849748,1,11.23
1940-11-09,1.0683568455002805,0,11.4
1940-11-12,-0.25153862121622533,0,11.36
1940-11-13,-0.6268767210845803,0,11.26
1940-11-14,0.1894730562670983,0,11.29
1940-11-15,-0.7742813717725604,0,11.17
1940-11-16,-0.7119010610712485,0,11.06
1940-11-18,-0.1301341073292896,0,11.04
1940-11-19,0.06555212648434212,0,11.05
1940-11-20,-1.6390871831353415,0,10.79
1940-11-22,0.0,0,10.79
1940-11-23,-0.06437878634878805,0,10.78
1940-11-25,0.06448122052685969,0,10.79
1940-11-26,-0.19350302807027625,0,10.76
1940-11-27,-1.2682284062013192,0,10.56
1940-11-28,0.0,0,10.56
1940-11-29,0.06419339622626868,0,10.57
1940-11-30,0.2577627335227065,0,10.61
1940-12-02,0.0644673348533971,0,10.62
1940-12-03,-0.25800189470955553,0,10.58
1940-12-04,0.0,0,10.58
1940-12-05,-0.4580523994475143,0,10.51
1940-12-06,0.13117948737348264,0,10.53
1940-12-07,0.4582199782579473,0,10.6
1940-12-09,0.06656500388268216,0,10.61
1940-12-10,0.0,0,10.61
1940-12-11,0.13310803835004092,0,10.63
1940-12-12,0.2654273350979208,0,10.67
1940-12-13,0.1465119244353098,0,10.69
1940-12-14,-0.12315014097797773,0,10.68
1940-12-16,-1.273368900894994,0,10.58
1940-12-17,-0.5690753550411272,0,10.54
1940-12-18,-1.407303078216558,0,10.44
